GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
12365,0,16.73,84196,27.92,2016,1,9,14,1
11192,0,16.73,84586,21.69,2016,1,9,15,1
8440,0,16.73,86128,23,2016,1,9,16,1
3791,0,16.73,86796,30.32,2016,1,9,17,1
740,0,16.73,84551,36.13,2016,1,9,18,1
213,0,16.73,85232,35,2016,1,9,19,1
207,0,16.73,87083,29,2016,1,9,20,1
130,0,16.73,88254,25.01,2016,1,9,21,1
101,0,16.73,90040,25.1,2016,1,9,22,1
102,1,16.73,89117,22.28,2016,1,9,23,1
102,1,16.5,85734,10,2016,1,10,0,1
101,1,16.5,80281,5,2016,1,10,1,1
102,1,16.5,72304,4,2016,1,10,2,1
102,1,16.5,66714,2.5,2016,1,10,3,1
100,1,16.5,64696,2.35,2016,1,10,4,1
100,1,16.5,64144,2.3,2016,1,10,5,1
100,1,16.5,63578,2.3,2016,1,10,6,1
106,1,16.5,64655,2.5,2016,1,10,7,1
117,1,16.5,67653,4,2016,1,10,8,1
1202,1,16.5,71463,5,2016,1,10,9,1
4019,1,16.5,79170,8,2016,1,10,10,1
6900,1,16.5,84194,11.1,2016,1,10,11,1
8456,1,16.5,88202,10.1,2016,1,10,12,1
7238,1,16.5,86227,12.4,2016,1,10,13,1
6343,1,16.5,86875,12.4,2016,1,10,14,1
4938,1,16.5,79072,8.1,2016,1,10,15,1
2853,1,16.5,78304,8,2016,1,10,16,1
911,1,16.5,77724,10.1,2016,1,10,17,1
175,1,16.5,79843,25,2016,1,10,18,1
272,1,16.5,83169,33,2016,1,10,19,1
375,1,16.5,83004,30.66,2016,1,10,20,1
364,1,16.5,83189,26.89,2016,1,10,21,1
162,1,16.5,83825,26.93,2016,1,10,22,1
138,0,16.5,80546,18.1,2016,1,10,23,1
132,0,16.4,70985,5,2016,1,11,0,1
102,0,16.4,65372,2.5,2016,1,11,1,1
101,0,16.4,64370,2.33,2016,1,11,2,1
99,0,16.4,60159,2.3,2016,1,11,3,1
93,0,16.4,58000,2.3,2016,1,11,4,1
96,0,16.4,56266,2.33,2016,1,11,5,1
94,0,16.4,66265,4,2016,1,11,6,1
100,0,16.4,84847,20,2016,1,11,7,1
104,0,16.4,89805,40,2016,1,11,8,1
719,0,16.4,90106,40,2016,1,11,9,1
3273,0,16.4,91563,38.5,2016,1,11,10,1
6245,0,16.4,95195,35.01,2016,1,11,11,1
8025,0,16.4,101566,32.1,2016,1,11,12,1
9289,0,16.4,104059,34.1,2016,1,11,13,1
9473,0,16.4,102640,31,2016,1,11,14,1
7884,0,16.4,97815,31,2016,1,11,15,1
5014,0,16.4,95167,32,2016,1,11,16,1
1756,0,16.4,89509,37.21,2016,1,11,17,1
275,0,16.4,84735,42.88,2016,1,11,18,1
138,0,16.4,82481,40,2016,1,11,19,1
138,0,16.4,81256,40.59,2016,1,11,20,1
107,0,16.4,81252,40.1,2016,1,11,21,1
102,0,16.4,78859,34.1,2016,1,11,22,1
102,0,16.4,76391,28.1,2016,1,11,23,1
102,0,15.98,73948,21.51,2016,1,12,0,1
102,0,15.98,70800,15,2016,1,12,1,1
105,0,15.98,65747,8.5,2016,1,12,2,1
101,0,15.98,60700,8.5,2016,1,12,3,1
170,0,15.98,56024,9.8,2016,1,12,4,1
108,0,15.98,55835,16,2016,1,12,5,1
91,0,15.98,53281,24.38,2016,1,12,6,1
95,0,15.98,49840,35.92,2016,1,12,7,1
139,0,15.98,47446,40.5,2016,1,12,8,1
3201,0,15.98,44665,42,2016,1,12,9,1
9569,0,15.98,42653,41.75,2016,1,12,10,1
14457,0,15.98,44260,40,2016,1,12,11,1
17370,0,15.98,47816,35.7,2016,1,12,12,1
17863,0,15.98,51129,35.64,2016,1,12,13,1
17501,0,15.98,53478,32.4,2016,1,12,14,1
16514,0,15.98,55631,33,2016,1,12,15,1
13988,0,15.98,52714,36.08,2016,1,12,16,1
7543,0,15.98,44238,41.94,2016,1,12,17,1
